geography,label,geo_level
31080,"Los Angeles-Long Beach-Anaheim, CA",B
31140,"Louisville/Jefferson County, KY-IN",B
31180,"Lubbock, TX",B
31340,"Lynchburg, VA",B
31420,"Macon-Bibb County, GA",B
31460,"Madera, CA",B
31540,"Madison, WI",B
31700,"Manchester-Nashua, NH",B
31740,"Manhattan, KS",B
31860,"Mankato-North Mankato, MN",B
31900,"Mansfield, OH",B
31999,"Not in metropolitan area, NE",B
32420,"Mayagüez, PR",B
32580,"McAllen-Edinburg-Mission, TX",B
32780,"Medford, OR",B
32820,"Memphis, TN-MS-AR",B
32900,"Merced, CA",B
32999,"Not in metropolitan area, NV",B
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",B
33140,"Michigan City-La Porte, IN",B
33220,"Midland, MI",B
33260,"Midland, TX",B
33340,"Milwaukee-Waukesha-West Allis, WI",B
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",B
33540,"Missoula, MT",B
33660,"Mobile, AL",B
33700,"Modesto, CA",B
33740,"Monroe, LA",B
33780,"Monroe, MI",B
33860,"Montgomery, AL",B
33999,"Not in metropolitan area, NH",B
34060,"Morgantown, WV",B
34100,"Morristown, TN",B
34580,"Mount Vernon-Anacortes, WA",B
34620,"Muncie, IN",B
34740,"Muskegon, MI",B
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",B
34900,"Napa, CA",B
34940,"Naples-Immokalee-Marco Island, FL",B
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",B
34999,"Not in metropolitan area, NJ",B
35100,"New Bern, NC",B
35300,"New Haven-Milford, CT",B
35380,"New Orleans-Metairie, LA",B
35620,"New York-Newark-Jersey City, NY-NJ-PA",B
35660,"Niles-Benton Harbor, MI",B
35840,"North Port-Sarasota-Bradenton, FL",B
35980,"Norwich-New London, CT",B
35999,"Not in metropolitan area, NM",B
36100,"Ocala, FL",B
36140,"Ocean City, NJ",B
36220,"Odessa, TX",B
36260,"Ogden-Clearfield, UT",B
36420,"Oklahoma City, OK",B
36500,"Olympia-Tumwater, WA",B
36540,"Omaha-Council Bluffs, NE-IA",B
36740,"Orlando-Kissimmee-Sanford, FL",B
36780,"Oshkosh-Neenah, WI",B
36980,"Owensboro, KY",B
36999,"Not in metropolitan area, NY",B
37100,"Oxnard-Thousand Oaks-Ventura, CA",B
37340,"Palm Bay-Melbourne-Titusville, FL",B
37460,"Panama City, FL",B
37620,"Parkersburg-Vienna, WV",B
37860,"Pensacola-Ferry Pass-Brent, FL",B
37900,"Peoria, IL",B
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",B
37999,"Not in metropolitan area, NC",B
38060,"Phoenix-Mesa-Scottsdale, AZ",B
38220,"Pine Bluff, AR",B
38300,"Pittsburgh, PA",B
38340,"Pittsfield, MA",B
38540,"Pocatello, ID",B
38660,"Ponce, PR",B
38860,"Portland-South Portland, ME",B
38900,"Portland-Vancouver-Hillsboro, OR-WA",B
38940,"Port St. Lucie, FL",B
38999,"Not in metropolitan area, ND",B
39140,"Prescott, AZ",B
39300,"Providence-Warwick, RI-MA",B
39340,"Provo-Orem, UT",B
39380,"Pueblo, CO",B
39460,"Punta Gorda, FL",B
39540,"Racine, WI",B
39580,"Raleigh, NC",B
39660,"Rapid City, SD",B
39740,"Reading, PA",B
39820,"Redding, CA",B
39900,"Reno, NV",B
39999,"Not in metropolitan area, OH",B
40060,"Richmond, VA",B
40140,"Riverside-San Bernardino-Ontario, CA",B
40220,"Roanoke, VA",B
40340,"Rochester, MN",B
40380,"Rochester, NY",B
40420,"Rockford, IL",B
40580,"Rocky Mount, NC",B
40660,"Rome, GA",B
40900,"Sacramento--Roseville--Arden-Arcade, CA",B
40980,"Saginaw, MI",B
